Description,Location,Price,Bedrooms,Bathrooms,Floor_area,Land_area,Latitude,Longitude,Cluster,region
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 216-F","Cupang, Muntinlupa",2515625,1,1,30.0,0.0,14.434669,121.040194,0,National Capital Region
"3-Bedroom Unit (112 sqm) for Sale in The Signature, Balintawak Quezon City","Pag-Ibig Sa Nayon, Quezon City",14600000,3,2,112.0,0.0,14.646511,120.996952,0,National Capital Region
"2-Bedroom Unit (70.6 sqm) for Sale in La Vida Tower A, Pasay City","F.B Harisson, Pasay",10281600,2,2,70.0,0.0,14.55323,120.990226,0,National Capital Region
"1-Bedroom Condo Unit for Sale at Legacy Leisure Residences in Ma-a, Davao City | 32.7...","Ma-A, Davao",3702460,1,1,32.0,0.0,7.0867489,125.5840299,0,Davao
"Cityland One Premier, 2-Bedroom Unit for Sale in Las Pinas City","Almanza Uno, Las Pinas",5526622,2,2,58.0,0.0,14.4324914,121.0140532,0,National Capital Region
"Pre-Selling 1-Bedroom Unit (32 sqm) in Sierra Valley Gardens 1, Cainta, Rizal","San Juan, Cainta",5200000,1,1,32.0,0.0,14.583362,121.130727,0,Calabarzon
"Studio Condo Unit for Sale at Camella Manors Bacolod in Mandalagan, Bacolod City | Pr...","Mandalagan, Bacolod",3678000,1,1,23.0,0.0,10.6877926,122.9747478,0,Western Visayas
"For Sale: Studio Unit in Metrotowne, Las Pinas City","Talon Uno, Las Pinas",2600000,1,1,22.0,0.0,14.446596,120.987165,0,National Capital Region
"2-Bedroom Condo Unit for Sale in Terraces at Jubilation, Platero, New Binan, Laguna","Platero, Binan",4200000,2,1,40.0,0.0,14.322713,121.0892395,0,Calabarzon
"The Signature - 2-Bedroom Unit (83 sq. m.) in A. Bonifacio Quezon City. Php 95,000 mo...","Pag-Ibig Sa Nayon, Quezon City",9600000,2,2,83.0,0.0,14.646511,120.996952,0,National Capital Region
"1BR Condo Unit (33sqm)  for Sale in Tivoli Condo, Talamban, Cebu City","Talamban, Cebu",3110000,1,1,33.0,0.0,10.36171,123.911374,0,Central Visayas
2 Storeys Commercial Lot and Building for Sale,"San Nicolas, San Fernando",68160000,0,0,1136.0,0.0,15.16305,120.729066,2,Central Luzon
"Pre-Selling 2BR Unit (54.06 sqm) in Acacia Escalades A, Pasig City","Manggahan, Pasig",5500000,2,1,54.0,0.0,14.601887,121.093698,0,National Capital Region
The Sapphire Bloc Ortigas I 1 Bedroom for sale I for as low as 17k php / month,"Ortigas CBD, Pasig",8876973,1,1,37.0,0.0,14.583771,121.059675,0,National Capital Region
"Leia Two Storey Duplex for Sale in Sentosa, Calamba Laguna","Punta, Calamba",2925600,3,0,60.0,80.0,14.176345,121.122173,0,Calabarzon
"1-Bedroom Condo Unit for Sale in Terraces at Jubilation, Platero, New Binan, Laguna","Platero, Binan",3000000,1,1,28.0,0.0,14.322713,121.0892395,0,Calabarzon
Brentville International Community - Prominence II Townhomes under CCT in Laguna,"Mampalasan, Binan",18525000,3,2,195.0,0.0,14.2923053,121.0810444,3,Calabarzon
"For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite","Carsadang Bago I, Imus",5234791,3,0,75.0,112.0,14.4234269,120.9289746,0,Calabarzon
"Cityland 101 Xavierville, 1-Bedroom Deluxe for Sale in Quezon City","Loyola Heights, Quezon City",3811333,1,1,41.0,0.0,14.640624,121.076504,0,National Capital Region
"1BR Condo Unit for Sale in Seville Residences at Circulo Verde, Bagumbayan, Quezon Ci...","Bagumbayan, Quezon City",9353260,1,1,62.0,0.0,14.605396,121.081903,0,National Capital Region
"Offices at The Galleon - Prime Unit (27I) for Sale in Ortigas, Pasig","San Antonio, Pasig",32200000,0,0,93.0,0.0,14.588716,121.060009,0,National Capital Region
"Cityland 101 Xavierville, 1-Bedroom Unit for Sale in Quezon City","Loyola Heights, Quezon City",2131988,1,1,24.0,0.0,14.640624,121.076504,0,National Capital Region
"RFO Studio Unit (29.05 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan",6200000,1,1,29.0,0.0,14.600676,121.43876,0,Calabarzon
"2-Bedroom Unit for Sale in The Mist Residences, Bakakeng Central, Baguio City","Bakakeng Central, Baguio",4600000,2,1,35.0,0.0,16.39936,120.581264,0,Cordillera Administrative Region
"RFO 1-Bedroom Unit 4611 for Sale in Grand Riviera Suites, Roxas Boulevard Manila","Roxas Boulevard, Manila",6963000,1,1,31.0,0.0,14.551476,120.9895887,0,National Capital Region
"RFO 1-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 217-G","Cupang, Muntinlupa",3756900,1,1,40.0,0.0,14.434669,121.040194,0,National Capital Region
"1BR Suite Condo Unit for Sale in Lucima, Cebu Business Park, Cebu City | Pre-selling","Hippodromo, Cebu",8929270,1,1,53.0,0.0,10.315,123.90592845448,0,Central Visayas
"4-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Dani,...","Sapang Palay, San Jose del Monte",5969000,4,0,83.0,99.0,14.8450503,121.0612785,0,Central Luzon
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 313-C","Cupang, Muntinlupa",5071500,2,1,54.0,0.0,14.434669,121.040194,0,National Capital Region
"For Sale: Single Attached-Complete House and Lot in North Orchard Residences, Sta. Ma...","Caysio, Santa Maria",4297800,3,0,112.0,80.0,14.843912,120.968376,0,Central Luzon
"3-Bedroom House and Lot (Luciana Model) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang",9434000,3,0,174.0,176.0,14.183344,121.012375,0,Calabarzon
"RFO 2BR  Unit (69.79 sqm) for Sale in Chimes Greenhills, San Juan City","Greenhills, San Juan",8800000,2,2,69.0,0.0,14.600676,121.43876,0,Calabarzon
"Cityland One Taft Residences, 2-Bedroom Unit for Sale in Malate, Manila","Malate, Manila",6623819,2,2,56.0,0.0,14.570199,120.991585,0,National Capital Region
"Studio (3317) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig",8788000,1,0,35.0,0.0,14.588882,121.079016,0,National Capital Region
